,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
147,-100.0,-100.0,-90.0,-100.0,-42.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
148,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
149,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
150,-100.0,-100.0,-92.0,-100.0,-42.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
151,-100.0,-100.0,-91.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
152,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
153,-83.0,-100.0,-90.0,-100.0,-41.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
154,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
155,-83.0,-87.0,-90.0,-100.0,-42.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
156,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
157,-100.0,-100.0,-90.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
158,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-89.0,457.0153478,1271.80861,9.0,1
159,-81.0,-87.0,-91.0,-100.0,-43.0,-84.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
160,-100.0,-100.0,-100.0,-100.0,-41.0,-84.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
161,-100.0,-87.0,-90.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
162,-100.0,-100.0,-100.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
163,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
164,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
